Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L
134,74,香港科技大学广州,ZJJ是赵家杰,何家睿,张晋杰,赵欣昊,,,True,4,865,Bronze,+(59),,,,+3(215),+1(282),-1,,+1(209),,,
135,,香港科技大学广州,杂鱼~杂鱼~ 大哥哥连A题都过不掉嘛~,王向前,罗浩,储文皓,,,True,4,872,Bronze,+4(117),,,,+10(282),,+(167),-7,+(26),,,
,,重庆市第一中学校,阿阿阿阿米诺斯,,,,,,False,4,882,,+4(122),-1,,,+4(261),,+(272),,+1(47),,,
136,75,武汉理工大学,超级奶龙爆爆爆,林学涛,蒋海潮,谢子扬,,,True,4,901,Bronze,+1(82),,,,+12(296),,+2(192),,+(31),,,
137,,浙江工业大学,月球猫猫,陆徐豪,李汶芝,陈泓睿,,,True,4,912,Bronze,+7(270),,,,+4(257),-4,+(126),-1,+1(19),,,
,,浙江省诸暨市海亮高级中学,扣拿塔反思克拉波,,,,,,False,4,934,,+2(224),,,,+3(225),,+4(287),,+(18),,,-11
,,重庆市南开中学,淋雨,,,,,,False,4,935,,+3(96),,,,+3(279),,+4(298),,+(62),,,
138,,南京航空航天大学,DML,邵嘉奇,沈运之,任衍硕,,,True,4,956,Bronze,+(70),,,,+5(287),,+9(290),,+(29),,,
139,76,长安大学,长安未央,段可然,刘葆骐,石瑶,,,True,4,989,Bronze,+1(118),,,-2,+5(245),,+10(265),,+(41),,,-2
140,,香港大学,五条牢师,罗靖宇,李屿霏,张钰晨,,,True,3,190,Bronze,+(26),,,,-2,,+(123),-7,+(41),,,
141,,同济大学,仙银点金,高胜寒,郎若谷,李堂辉,,,True,3,205,Bronze,+(55),,,,-4,-1,+1(98),,+(32),,,
142,,南京邮电大学,菠萝好吃,向韫韬,蒋明辉,蔡振川,,,True,3,206,Bronze,+(83),,,,-15,,+(69),-4,+1(34),,,
143,77,西安理工大学,神秘的力量,贾成杰,马铭源,金钰奇,,,True,3,216,Bronze,+(39),,,,-8,-3,+(122),-1,+(55),,,
144,,北京邮电大学,好好想想,司睿洋,尹昱钦,张泽文,,,True,3,219,Bronze,+(70),,,,-6,-3,+(118),,+(31),,,
145,,上海理工大学,301兆亿的Asterism,刘斌然,黄毅帆,姚陆涵茗,,,True,3,234,Bronze,+(64),,,,-2,,+(123),,+1(27),,,
,,北京市第八十中学,八十一队,,,,,,False,3,239,,+(81),,-1,,,,+(139),-1,+(19),,,
146,78,浙江师范大学,狗运小子,厉文浩,陈增豪,王学远,,,True,3,247,Bronze,+(63),,,,-3,-2,+(171),,+(13),,,
147,,香港中文大学（深圳）,新建文件夹,莫骄阳,邓有权,周信言,,,True,3,248,Bronze,+(57),,,,-6,,+(131),,+1(40),,,
148,79,上海科技大学,耐撞王：牢然,居然,李建昊,王旻昊,,,True,3,250,Bronze,+(94),,,,-10,-4,+1(102),,+(34),,,
149,,浙江理工大学,你T不T吧,任麒源,贺宇昊,余江辉,,,True,3,265,Bronze,+1(71),,,,-2,-5,+2(112),,+(22),,,
150,80,西北大学,剑舞者,蒋宏烨,伍俊霖,朱钊毅,,,True,3,265,Bronze,+(59),,,,-6,,+1(165),,+(21),,,
151,81,山东大学（威海）,唐可可后援会后援会,张智航,张胜熙,涂鸿铭,,,True,3,268,Bronze,+(62),,,,-13,,+2(121),-1,+(45),,,
152,,华中科技大学,和平讨论不带节奏,冯育硕,杨家祯,聂卓然,,,True,3,273,Bronze,+(48),,,,-13,,+1(154),,+1(31),,,
153,82,吉林大学,断桥雪,周宇恒,陈鹏宇,黄昌盛,,,True,3,276,Bronze,+(33),,,,-4,-3,+(192),,+(51),,,
,,广州市铁一中学,自定义,,,,,,False,3,277,,+(39),,,,-14,,+1(172),,+(46),,,-6
154,,武汉大学,出包大怪 真厉害啊沈阳站，我大概这辈子都不会忘记你吧,李王城,苏泓宇,胡文锦,,,True,3,290,Bronze,+(60),,,,,-6,+3(147),-2,+(23),,,
155,83,重庆大学,不考计算几何就摆烂,葛轩铭,陈泆君,鲁永卓,,,True,3,291,Bronze,+2(65),,,,-3,-2,+(141),,+(45),,,
156,,山东大学,电话微波炉（暂定）,詹靖杰,董家豪,宿子腾,,,True,3,292,Bronze,+1(36),,,,+2(132),-1,-5,,+(64),,,
157,,浙江工业大学,choke豁免检定大成功,叶瑞阳,鲍成,罗志炜,,,True,3,311,Bronze,+(79),,,,-6,-5,+1(126),,+1(66),,,
158,,北京航空航天大学,四相断我,李澎瑞,孙健钧,黄伟宁,,,True,3,314,Bronze,+(49),,,,-4,-2,+1(201),,+1(24),,,
,,浙江省诸暨市海亮高级中学,贾治辰志向诚，再辰没有贾治诚,,,,,,False,3,317,,+3(77),,,-1,-14,-6,+(150),,+(30),,,
159,84,燕山大学,塔山之巅,孙振轩,吴亚楠,李一阳,,,True,3,317,Bronze,+(82),,,,-12,,+(184),,+1(31),,,
160,,华南理工大学,Fast Fast TLE,吴尚鸿,甘景贤,吴挺宇,,,True,3,319,Bronze,+(122),,,,-1,,+(152),-1,+(45),,,
161,,福州大学,重返未来,蔡长波,游世伟,王子豪,,,True,3,326,Bronze,+1(62),,,,-2,-4,+1(159),,+1(45),,,
,,广州市铁一中学,奔跑看到雨,,,,,,False,3,329,,+1(103),,,,,-3,+1(161),,+(25),,,
162,85,南开大学,难开题开题难,陈彦兴,何闻硕,张宇墨,,,True,3,334,Bronze,+3(58),,,,-5,,+(190),,+(26),,,
163,,西安电子科技大学,喵喵喵,罗杰,张亲翰,刘朝旭,,,True,3,335,Bronze,+3(82),,,,-7,,+1(153),-2,+(20),,,
,,华为技术有限公司,遥遥领先,,,,,,False,3,338,,+(62),,,,-18,,,+(211),+1(45),,,
164,,浙江师范大学,小运狗子,嵇纹垲,陈炯荣,张煜,,,True,3,340,Bronze,+(65),,,,+4(157),-2,-4,,+(38),,,
,,金华市丽泽中学,A.F.Spirit,,,,,,False,3,341,,+(52),,,,+2(212),-1,-5,,+(37),,,
,,西安市铁一中学,埃塞喷的,,,,,,False,3,343,,+3(85),,,,-7,,+1(137),-1,+1(21),,,
165,86,福建师范大学,杰尼龟快使用飞叶快刀,柯培垚,夏子洋,王潇,,,True,3,349,Bronze,+1(80),,,,-9,,+(199),,+1(30),,,
166,87,广东以色列理工学院,一纸繁鸢,薛亿杰,郭宇航,张晏然,,,True,3,351,Bronze,+(73),,,,-11,,+5(108),,+1(50),,,-5
167,88,哈尔滨工业大学（威海）,帅比队长征到婚了QQ[已隐藏],解裕懋,姚天奇,李昕烨,,,True,3,353,Bronze,+1(80),,,,,,-6,+1(198),+(35),,,
168,89,昆山杜克大学,哦豁,沈知远,王钧澎,孙厚旻,,,True,3,357,Bronze,+1(85),,,,-16,,-1,+2(194),+(18),,,
169,90,中国地质大学（北京）,玩机械动力玩的,许兴城,滕俊宁,盖林,,,True,3,358,Honorable,+1(71),,,,,-1,+2(192),,+(35),,,
,,广东工业大学,加睡,,,,,,False,3,366,,+(62),,,,+4(189),-1,-13,-1,+(35),,,
170,,哈尔滨工业大学,W4p3r Fan Club,范嘉涵,方智鉴,孔敬德,,,True,3,367,Honorable,+(72),,,,,-3,+1(208),,+1(47),,,
,,浙江省诸暨中学,这真是唐唐又龙龙啊,,,,,,False,3,372,,+3(36),,,,,-5,+3(174),,+(42),,,
,,广州大学附属中学,zlt粉丝团,,,,,,False,3,372,,+1(58),,,,-10,,+2(179),-1,+1(55),,,
,,浙江省诸暨市海亮高级中学,5m1队,,,,,,False,3,383,,+1(32),,,,-5,,+3(200),-2,+1(51),,,
171,,四川大学,雍正王朝老太医,王鹏超,熊一鸣,邓雍,,,True,3,384,Honorable,+1(51),,,,-7,-1,+(181),-2,+3(72),,,
172,,复旦大学,密码八个八,杜泊谷,曾添琪,陈禹卓,,,True,3,389,Honorable,+1(53),,,,-9,-2,+1(269),,+(27),,,
173,91,中国民航大学,四渡赤水,陆浩楠,崔凌宵,颜一鸣,,,True,3,390,Honorable,+1(58),,,,-8,,+2(240),,+(32),,,
174,,北京邮电大学,堂吉诃德,管庆涵,王冀恒,卢安来,,,True,3,391,Honorable,+1(54),,,,+3(233),,-9,-3,+(24),,,
,,山西大学附属中学校,正在打模拟赛,,,,,,False,3,394,,+1(87),,,,-3,,+(181),,+3(46),,,
175,,武汉理工大学,在ecf赛场上考java和数电但是打铁导致挂科,刘承明,胡晨煊,陶释然,,,True,3,395,Honorable,+(69),,,,+3(230),,-4,,+(36),,,
,,东北育才学校,原神关闭,,,,,,False,3,396,,+1(72),,,,-2,,+2(216),,+(48),,,-2
,,沈阳理工大学,金典,,,,,,False,3,397,,+3(97),,,,-9,,+3(173),,+(7),,,
176,,中山大学,中山大学_cutelyou,苏律硕,吴明禹,肖淇,,,True,3,398,Honorable,+3(103),,,,+1(141),-5,-2,,+(74),,,
177,,吉林大学,划船全靠浪,赵星宇,武锦旗,刘凡平,,,True,3,401,Honorable,+(46),,,,+5(202),,-3,,+(53),,,
178,,香港中文大學,放學後飲茶時間,翁澤輝,杜景滔,左正楠,,,True,3,403,Honorable,+1(90),,,,-6,,+2(201),,+(52),,,
179,,西安交通大学,未铭记何谈淡忘,陈弘烜,方亦晨,陈光耀,,,True,3,407,Honorable,+(55),,,,-5,,+2(278),,+(34),,,
180,,西北工业大学,小甜甜,李可期,钟涛宇,邹嘉豪,,,True,3,410,Honorable,+(67),,,,+1(290),,-11,,+(33),,,
181,,电子科技大学,UESTC_xxx,吴峻锋,蔡少政,吴宇环,,,True,3,415,Honorable,+2(111),,,,+2(201),-3,-4,,+(23),,,
182,,天津大学,这还是蟹堡王么,张明达,马宏伟,吕一然,,,True,3,416,Honorable,+2(120),,,,-11,,+1(207),,+(29),,,
,,山东省平邑第一中学,进击的雪豹,,,,,,False,3,421,,+(51),,,,+3(269),,-15,,+(41),,,
183,92,新疆大学,胡杨春信,孟昱辰,苏庆宁,章凇瑜,,,True,3,424,Honorable,+(68),,,,,-4,+(125),-1,+3(171),,,
184,,上海大学,重生之我是德国队,张学鹏,方任斌,田凯文,,,True,3,425,Honorable,+2(70),,,,-11,-1,+5(192),,+(23),,,
185,93,香港理工大学,马,向昱帆,孙涵松,王骏峣,,,True,3,425,Honorable,+3(41),,,,+3(240),,-2,-7,+(24),,,
186,94,广东工业大学,演奏春日影,梁展榕,庞翔,林正,,,True,3,428,Honorable,+(91),,+1(264),,,,-8,-2,+(53),,,
187,95,河南农业大学,千夜浮梦,闫亚鑫,张岩,齐子昊,,,True,3,431,Honorable,+1(60),,,,-5,,+7(185),,+(26),,,
,,华为技术有限公司,极光队,,,,,,False,3,433,,+1(52),,,,-8,+1(297),-5,,+(44),,,
,,南京外国语学校,马轩羽哥哥带飞我们仨,,,,,,False,3,434,,+4(181),,,,-9,-2,+1(135),,+(18),,,-7
188,,哈尔滨工业大学,风灵玉秀,郭昕旸,陈云龙,金智威,,,True,3,434,Honorable,+(52),,,,-4,,+4(251),,+1(31),,,
189,,大连理工大学,二保一,袁振,陈常杰,闫希良,,,True,3,435,Honorable,+1(70),,,,+3(251),,-5,,+(34),,,
,,广州市铁一中学,67c2c13e9cc0c312973c90245537fd04,,,,,,False,3,436,,+1(42),,,,-4,-4,+1(198),,+3(96),,,-3
190,96,长沙学院,冲冲冲,曾翔,何南宁,应郑涛,,,True,3,440,Honorable,+1(76),,,,+6(196),,-14,,+(28),,,
,,广州市铁一中学,忘了,,,,,,False,3,448,,+(62),,,,+2(295),,-5,,+1(31),,,-3
191,97,浙江万里学院,MikuFans,赵之钰,翁芝燕,竺夏,,,True,3,452,Honorable,+(78),,,,-9,,+3(255),,+1(39),,,
192,,武汉理工大学,机械降神,朱振傲,朱选文,侯哲昊,,,True,3,454,Honorable,+(53),,,,-3,-2,+2(260),,+(101),,,
193,98,山东理工大学,清纯白毛小萝莉,孙童乐,从文杰,王鹤翱,,,True,3,464,Honorable,+(58),,,,+5(269),,-12,,+(37),,,
,,广东实验中学,省实信奥4队,,,,,,False,3,465,,+(124),,,,-10,,+(230),,+(111),,,
194,,东南大学,事已至此，先吃饭吧,毛周祥,靳赫涛,杜鑫研,,,True,3,465,Honorable,+1(67),,,,-5,+4(264),,-2,+(34),,,
,,广州市铁一中学,小情发发,,,,,,False,3,485,,+(56),,-1,,+2(272),,-6,,+1(97),,,
,,首都师范大学附属中学,ssf创新队,,,,,,False,3,489,,+(52),-1,-1,-1,-1,-1,-7,-1,+2(56),-1,-1,+4(261)
,,代码源,四六七,,,,,,False,3,492,,+2(66),,,,+4(257),,-2,,+1(29),,,
,,成都市第七中学,真吗？再想想呢,,,,,,False,3,494,,+4(156),,,,-5,,+1(199),,+(39),,,
195,99,华南农业大学,14个铜牌能打EC Final，真的假的？,梁嘉俊,陈国豪,何勤政,,,True,3,497,Honorable,+1(73),,,,+3(286),-1,-50,,+(58),,,-1
196,,杭州师范大学,一隅之梦,张朝,陈俊安,蔡宇欣,,,True,3,508,Honorable,+2(152),,,,+4(207),,-24,,+(29),,,
,,成都市第七中学,tybbs 和他的朋友们,,,,,,False,3,508,,+3(108),,,,-1,,+2(268),,+(32),,,
197,100,湖南理工学院,流泪猫猫头,金烜宇,阳金里,梁韧,,,True,3,510,Honorable,+1(117),,,,+5(238),,-8,,+(35),,,
,,厦门双十中学,双十中学,,,,,,False,3,511,,+1(44),,,,+6(217),-4,,,+2(70),,,
198,,哈尔滨工业大学（深圳）,这么出题是吧,蔡易轩,李潭啸,徐子昂,,,True,3,526,Honorable,+1(75),,,,-6,,+4(241),,+1(90),,,
199,,昆山杜克大学,什么时候能报销报名费,胡子,袁天骏,成秉翰,,,True,3,531,Honorable,+1(99),,,,+4(242),,,,+2(50),,,-3
200,,香港中文大学（深圳）,WTYTO,杨久知,涂宵箫,王泽诚,,,True,3,535,Honorable,+3(61),,,,-11,,+5(284),-4,+(30),,,
,,西安铁一中国际合作学校,大唐盛世,,,,,,False,3,536,,+1(147),,,,,-4,+2(269),,+(60),,,
,,北京邮电大学,零叉八C,,,,,,False,3,541,,+4(204),,,,-18,-4,+2(158),,+1(39),,,
201,101,湘潭大学,海之霸,李子熙,魏志高,程书涵,,,True,3,543,Honorable,+2(146),,,,-6,-4,+3(279),,+(18),,,
202,,西北工业大学,#N/A,王景珩,张天翔,牛马思元,,,True,3,549,Honorable,+1(68),,,,-1,,+6(245),,+2(56),,,
203,,杭州电子科技大学,杭电4队,张雨泽,罗传杰,杨钧昊,,,True,3,554,Honorable,+3(160),,,,-9,,+(235),,+1(79),,,
,,西北工业大学附属中学,星光,,,,,,False,3,560,,+2(88),,,,+7(259),-4,-4,,+(33),,,
,,浙江省余姚中学,命名空间,,,,,,False,3,564,,+1(59),,,,,+3(290),-3,,+1(115),,,
204,102,北京林业大学,上林花似锦,付耀刚,余行健,张锦秀,,,True,3,573,Honorable,+(39),,,,-9,,+9(251),,+2(63),,,
,,北京市第八十中学,三思后行,,,,,,False,3,585,,+1(60),,,,+4(276),,-2,,+3(89),,,
205,,武汉理工大学,曼波哈基米大战贤者三异鸟,孙晨奥,周泽鹏,邢家童,,,True,3,598,Honorable,+5(86),,,,+5(255),-6,,,+(57),,,
,,长沙市雅礼中学,被老爸打队,,,,,,False,3,600,,+(36),,,,-8,-1,+9(298),,+2(46),,,
206,,南京邮电大学,关于我转生到南邮在ACM赛场打暴力这档事,刘沛城,赵聿祺,王普立,,,True,3,620,Honorable,+2(98),,,,+1(279),,-15,,+1(163),,,
207,,山东大学,猫学长，靠谱！,钟以楠,陈方航,刘智豪,,,True,3,624,Honorable,+1(114),,,,+5(296),-2,-1,,+1(74),,,
208,,西北大学,越来越好,姜博宇,易李彦翰,安俊杰,,,True,3,649,Honorable,+3(207),,,,,,+(288),,+1(74),,,
209,,长沙理工大学,流萤,赵翰熙,刘振林,陈师贤,,,True,3,696,Honorable,+1(70),,,,+8(294),,-8,,+2(112),,,
,,中雅培粹学校,红烧胖头鱼,,,,,,False,3,790,,+6(112),,,,,,+4(238),,+5(140),,,
,,代码源,白矮星,,,,,,False,3,800,,+2(152),,,,+13(291),,-2,,+1(37),,,
,,西安市铁一中学,铁，铁，铁，铁死了,,,,,,False,2,59,,+(40),,,,-5,,,-3,+(19),,,
210,,山东大学,不是你怎么连高脚鸟都打不过,周何,王在烜,许蕴朴,,,True,2,62,Honorable,+(41),,,,-10,,-12,,+(21),,,
211,,南开大学,强基计划我爱你,郭军凯,赵思远,车昱辉,,,True,2,74,Honorable,+(37),,,,-6,-2,-3,-2,+(37),,,-11
,,江西师范大学,eroengine和他的代码手,,,,,,False,2,81,,+1(42),,,,-14,,-2,-5,+(19),,,
212,,湖南理工学院,君不见高堂评测悲全WA,郭烨铖,费峥宇,林卫昱,,,True,2,86,Honorable,+(37),,,,-8,,,,+(49),,,
213,,华中科技大学,原来改队名真的能拿金,方昀昊,陈浩天,李海疆,,,True,2,88,Honorable,+(61),,,,-5,,-1,-8,+(27),,,
214,103,山东科技大学,柏林号,徐熙睿,张一炜,许维杰,,,True,2,90,Honorable,+(60),,,,-10,,,,+(30),,,
215,,山东大学,应用随机过程,苏岳,王源鑫,李玉庭,,,True,2,93,Honorable,+(45),,,,-8,-5,-6,,+(48),,,
216,,哈尔滨工程大学,"throw new UnknownException(""希腊奶"");",金炜东,蒋渡,王亦凡,,,True,2,93,Honorable,+1(56),-1,-1,-1,-3,-1,-8,,+(17),-1,,
217,,浙江理工大学,马拉车算法算车拉马,姚仁杰,汤丰玮,卢一鸣,,,True,2,94,Honorable,+(60),,,,-10,-3,,,+(34),,,
218,104,江苏大学,扫一遍就过了,赵安杰,庞政,张道正,,,True,2,95,Honorable,+(62),,,,-7,-1,-2,,+(33),,,
219,,西安交通大学,天狼星的心脏,刘一可,洪家庆,许孜诚,,,True,2,96,Honorable,+1(55),,,,-9,,-8,,+(21),,,
220,105,浙大宁波理工学院,青梅绿茶,吴东,吴泽坤,涂荣基,,,True,2,101,Honorable,+(73),,,,-4,,-5,,+(28),,,
221,,西安交通大学,唐人,杨润轩,李纳川,刘欣楠,,,True,2,105,Honorable,+1(52),,,,,-3,-11,-2,+(33),,,
222,,南开大学,粥畜已除一害,杨澍,李佳璞,章壹程,,,True,2,106,Honorable,+(75),,,,-10,,-5,,+(31),,,
223,,西安交通大学,正在评测中,吴夏天,王博想,邱宇成,,,True,2,109,Honorable,+(71),,,,-7,,-4,,+(38),,,
224,106,成都信息工程大学,帝企鹅,林莫豪,李奕乐,刘雨葳,,,True,2,111,Honorable,+(64),,,,-8,,-13,,+1(27),,,
225,,北京交通大学,白夜追风,陈可致,殷澄宇,杨展宇,,,True,2,111,Honorable,+(77),,,,-14,,-4,,+(34),,,
,,长春工业大学人文信息学院,要和我打一辈子算法竞赛吗,,,,,,False,2,114,,+1(64),,,,-5,,-1,,+(30),,,
226,107,绍兴理工学院,场场打铜的杂鱼大哥哥,陈佳俊,谢琳涵,江亚君,,,True,2,117,Honorable,+1(63),,,,,,-17,,+(34),,,
227,,长沙理工大学,Sakura,唐彪,马艺,谭焱文,,,True,2,118,Honorable,+(89),,,,-6,,-29,,+(29),,,
228,,武汉大学,日之道途,徐嘉浩,张涵,李澍,,,True,2,119,Honorable,+2(57),,,,,-7,-11,,+(22),,,
229,108,浙江机电职业技术大学,兔八鸽,林宇曈,洪志伦,应程杰,,,True,2,120,Honorable,+1(69),,,,-9,,-11,,+(31),,,
230,,香港中文大學,香港电视台,杨砚泽,张译丰,阮立成,,,True,2,125,Honorable,+1(71),,,,-3,,-10,-1,+(34),,,
,,深圳外国语学校,打铁队,,,,,,False,2,127,,+(53),,,,-4,-10,,,+(74),,,
231,109,中国矿业大学（北京）,守村人,郭天茁,史坪巧,罗心伟,,,True,2,132,Honorable,+(102),,,,-3,,-8,,+(30),,,
,,南阳理工学院,给队友端茶倒水,,,,,,False,2,136,,+(76),,,,-5,,,,+(60),,,
232,,西南交通大学,一次买够？？！,郑欢庆,徐明山,丁昱,,,True,2,136,Honorable,+(82),,,,,,-7,-1,+(54),,,
233,,北京理工大学,香蕉的感觉不奇妙,梁思源,王翔宇,叶子宁,,,True,2,137,Honorable,+2(67),,,,-12,,-4,,+(30),,,
234,,华中师范大学,退役玩家旅游团,张凯文,杨波,汪祺祺,,,True,2,137,Honorable,+(80),,,,-8,-4,,,+(57),,,
235,,国防科技大学,茉香茉语茉清梦,杨淇斌,尤炜豪,王俊博,,,True,2,138,Honorable,+2(52),,,,-2,,-6,,+(46),,,
236,110,中国地质大学（武汉）,不可思议之国的爱丽丝正在梦游仙境,李诏天,陈学海,何坤良,,,True,2,139,Honorable,+1(85),,,,-7,,,,+(34),,,
237,,西安电子科技大学,喵亦或鱼,冯子诚,文童宇,谢睿杰,,,True,2,141,Honorable,+(20),,,,-1,,-2,,+1(101),,,
,,成都市第七中学,Re_Strawberrj,,,,,,False,2,144,,+1(89),,,,-9,,-1,,+(35),,,
238,111,西南科技大学,此生仅有的机会,游克峰,刘雨凡,朱杰,,,True,2,147,Honorable,+(79),,,,-3,,-2,,+1(48),,,
239,112,中国石油大学（华东）,中石大2005,刘亚宁,杨立鑫,韩绍泽,,,True,2,148,Honorable,+1(80),,,,-4,,-4,,+(48),,,
,,东南大学,打CPC打的,,,,,,False,2,148,,+1(80),,,,-3,,,,+(48),,,
240,,国防科技大学,青铜时代号,李泽锴,王荣航,蒋卓彧,,,True,2,148,Honorable,+1(103),,,,,,-7,,+(25),,,
241,113,福建理工大学,猿农舟,陈鹏,郑晟睿,林舜华,,,True,2,153,Honorable,+1(65),,,,-10,,-6,,+1(48),,,
242,,北京航空航天大学,会挽雕弓如满月,梁钧著,傅可树,马一,,,True,2,155,Honorable,+1(55),,,,-14,,,,+1(60),,,
243,,香港大学,今天必须取个队名,夏铭飞,杨明天,吴浩元,,,True,2,156,Honorable,+1(47),,,,-9,,,,+(89),,,
244,,香港理工大学,香港难民,付冠赫,张昊霖,陈俊儒,,,True,2,160,Honorable,+1(103),,,,,,-3,,+(37),,,
,,山西大学附属中学校,随机队名,,,,,,False,2,161,,+1(93),,,,-1,,-12,,+(48),,,
,,宁波大学,泥巴动物园,,,,,,False,2,167,,+(130),,,,,,-11,,+(37),,,
245,114,深圳大学,你头怎么尖尖的,何元捷,邱晓睿,佘洽聪,,,True,2,172,Honorable,+(33),,,,-5,,-1,,+(139),,,
246,,浙江万里学院,棱镜,王力澜,袁礼赞,钱沁浩,,,True,2,173,Honorable,+2(90),,,,-7,,-4,,+(43),,,
,,中雅培粹学校,胖头鱼刺身,,,,,,False,2,175,,+1(98),,,,,,-13,,+(57),,,
,,北京信息科技大学,梦幻小丑,,,,,,False,2,186,,+3(94),,,,-8,,,-1,+(32),,,
247,,杭州电子科技大学,杭电0队,林炜钦,梅瑞贤,万扬,,,True,2,188,Honorable,+2(72),,,,-5,-2,-2,,+(76),,,
248,,浙江师范大学,分秒易逝，V我5时,兰博望,刘思源,许凯胤,,,True,2,191,Honorable,+3(84),,,,-1,,-10,,+1(27),,,
249,115,香港浸会大学,霸道隊友：上一世成爲黑紅的我重回ICPC西安，這一次我全都要。,蒋润浩,吴铮,贾子涵,,,True,2,192,Honorable,+2(72),,,,-18,,-6,,+2(40),,,
250,116,暨南大学,怎么你俩都不在机房,刘昌源,黄一帆,郭彦培,,,True,2,192,Honorable,+(15),,,,,-1,-4,,+4(97),,,
,,中雅培粹学校,很骚的数学狂热宏定义,,,,,,False,2,193,,-11,,,,,,+(166),,+(27),,,
251,,东北大学,东北大学_秦都半唐,谢天石,张佳栋,黄宇帆,,,True,2,196,Honorable,+(80),,,,-5,,,,+1(96),,,
,,中雅培粹学校,清蒸胖头鱼,,,,,,False,2,197,,+3(78),,,,-7,,-7,,+1(39),,,
,,山东理工大学,我的青春ACM物语不会梦到吃货幽幽子,,,,,,False,2,198,,+1(111),,,,-5,,,,+(67),,,
,,山东省平邑第一中学,众众爱学考,,,,,,False,2,212,,+1(142),,,,-11,,,,+(50),,,
252,,东北大学,东北大学_面向样例程序设计,王百汇,施博文,董新畅,,,True,2,218,Honorable,+2(116),,,,-6,,-8,,+(62),,,
253,117,阿坝师范学院,火攻,陈李鑫,李先笙,胡航,,,True,2,229,Honorable,+1(124),,,,-2,,,,+1(65),,,
,,上海理工大学,宇宙无敌焚神龙,,,,,,False,2,234,,+1(83),,,,-2,,,,+2(91),,,
254,118,南昌大学,雪月花,胡书惠,何超,满曜嘉,,,True,2,238,Honorable,+2(109),,,,-9,,-2,,+1(69),,,
255,119,广州大学,i * i = -1,黎俊豪,谢艺瀚,吴梓涵,,,True,2,239,Honorable,+2(111),,,,-2,,,,+(88),,,
,,中雅培粹学校,油炸胖头鱼,,,,,,False,2,244,,+1(71),,,,-5,,-1,,+3(93),,,
256,120,云南大学,华丽收场,周志昊,高凌豪,崔耀,,,True,2,251,Honorable,+3(146),,,,-1,,-10,,+(45),,,
,,成都市第七中学,大源队,,,,,,False,2,254,,+3(141),,,,,,,,+(53),,,
257,,南京航空航天大学,找对象,陈梓鹏,李章锐,吕海亮,,,True,2,255,Honorable,+4(130),,,,-1,,-11,,+(45),,,
258,121,上海师范大学,你带着二次元头像说我是二次元？,李至峰,林彬,王刚,,,True,2,256,Honorable,+3(136),,,,-7,,,,+(60),,,
,,西安工业大学,超级梦之队的icpc最后一舞,,,,,,False,2,258,,+2(162),-2,-1,-3,,,-12,,+1(36),-1,,
259,,湖南大学,凌空摘星,陈罡,朱潇庸,刘博文,,,True,2,262,Honorable,+1(152),,,,-2,,,,+1(70),,,
,,南阳理工学院,无敌噼里啪啦,,,,,,False,2,265,,+1(173),,,,,,-7,,+(72),,,
,,成都石室中学,队名未上传,,,,,,False,2,265,,-30,,,-1,,,+1(179),,+1(46),,,
,,杭州市第二中学,杭二GZC队,,,,,,False,2,266,,+1(79),-1,,,-7,,-4,,+2(127),,,
260,122,集美大学,因为暮色将终,姚远,周鑫,颜秉轩,,,True,2,278,Honorable,+1(182),,,,-16,,-4,,+1(56),,,
261,,南京理工大学,无知猫猫头,查怡安,徐菲阳,刘一欢,,True,True,2,280,Honorable,+3(175),,,,-4,,,,+(45),,,
262,123,南阳理工学院,一哥一演一挂机,毋华萍,周一涛,王士尧,,,True,2,286,Honorable,+3(190),,,,-6,,,,+(36),,,
,,江西科技学院附属中学,千年兵马俑，百年闭优G,,,,,,False,2,292,,+4(137),,,,-6,,,,+(75),,,
263,,南京大学,智慧之树,金昕炜,李睿星,陈新,,,True,2,292,Honorable,+3(191),,-4,,-1,,-3,,+(41),,,
264,,广东工业大学,qwq,冯天翔,廖家健,欧俊希,,,True,2,300,Honorable,+(168),,,,-3,,-1,,+(132),,,
265,,广东工业大学,jump！！！！,杨子弘,林俊耿,肖能翔,,,True,2,308,Honorable,+2(135),,,,-5,,-6,,+2(93),,,
266,,香港城市大学,此处应有一个队名,高立由,洪琛皓,王梵,,,True,2,317,Honorable,+2(190),,,,-2,,-2,,+1(67),,,
,,西北工业大学附属中学,阳光,,,,,,False,2,353,,+4(213),,,,,,-5,,+(60),,,-1
,,首都师范大学附属中学,ssf青牛队,,,,,,False,2,375,,+(117),,,,-2,,,-5,+3(198),,,
267,124,东北师范大学,运行错误,曹勇麟,齐昊坤,黎江楠,,,True,2,376,Honorable,+5(242),,,,,,-17,,+(34),,,
268,125,浙江工商大学,空花阳焰,薛强,王哲,徐贤涛,,,True,2,387,Honorable,-5,,,,+5(263),,,,+(24),,,
269,,南方科技大学,南方科技大学-皮尔森,钟雨薇,项楚涵,王紫漩,,True,True,2,389,Honorable,+6(196),,,,-4,-2,-6,,+(73),,,
270,126,西安欧亚学院,略去过程QED,林川翔,刘家瑞,吴天乐,,,True,2,395,Honorable,+2(236),,,,-1,,,,+2(79),,,
